Pd,Fitted_Sh
-65.4,5.66263867578526
-65.22010050251257,5.792290346600932
-65.04020100502512,5.924601736624558
-64.8603015075377,6.059613190637181
-64.68040201005026,6.197365006324327
-64.50050251256282,6.337897397979517
-64.32060301507538,6.481250458630482
-64.14070351758795,6.627464120571534
-63.96080402010051,6.776578114288768
-63.78090452261307,6.928631925767568
-63.60100502512563,7.083664752175643
-63.4211055276382,7.2417154559180705
-63.24120603015076,7.402822517064867
-63.06130653266332,7.5670239841556945
-62.88140703517588,7.734357423390828
-62.70150753768845,7.904859866221882
-62.52160804020101,8.078567755361139
-62.341708542713576,8.255516889233085
-62.161809045226136,8.43574236489766
-61.981909547738695,8.61927851948
-61.80201005025126,8.806158870147875
-61.62211055276382,8.996416052683976
-61.44221105527639,9.190081758706658
-61.26231155778895,9.387186671599773
-61.082412060301515,9.587760401218677
-60.902512562814074,9.79183141744709
-60.72261306532664,9.999426982686371
-60.5427135678392,10.21057308336667
-60.36281407035176,10.42529436057656
-60.18291457286433,10.643614039915995
-60.00301507537689,10.865553860684882
-59.82311557788945,11.09113400452752
-59.64321608040201,11.32037302366139
-59.46331658291458,11.553287768826104
-59.28341708542714,11.78989331709691
-59.103517587939706,12.030202899714235
-58.923618090452266,12.274227830089055
-58.743718592964825,12.521977432150837
-58.56381909547739,12.773458969212532
-58.38391959798995,13.02867757353387
-58.20402010050252,13.287636176770869
-58.02412060301508,13.550335441506222
-57.844221105527645,13.816773694060494
-57.664321608040204,14.086946858790334
-57.48442211055277,14.360848394084046
-57.30452261306533,14.638469230269882
-57.12462311557789,14.919797709655658
-56.94472361809046,15.204819528921691
-56.76482412060302,15.493517684091143
-56.58492462311558,15.785872418303327
-56.40502512562814,16.081861172616343
-56.22512562814071,16.381458540065104
-56.04522613065327,16.68463622319962
-55.865326633165836,16.99136299532607
-55.685427135678395,17.301604665670535
-55.505527638190955,17.61532404868029
-55.32562814070352,17.932480937672967
-55.14572864321609,18.253032083036977
-54.96582914572865,18.57693117517938
-54.78592964824121,18.904128832408198
-54.606030150753774,19.23457259392724
-54.426130653266334,19.568206918109777
-54.2462311557789,19.90497318620539
-54.06633165829146,20.24480971162188
-53.88643216080402,20.587651754908922
-53.70653266331659,20.9334315445555
-53.52663316582915,21.282078303696572
-53.34673366834171,21.63351828280741
-53.16683417085427,21.9876747984454
-52.98693467336684,22.344468278080903
-52.8070351758794,22.703816311038587
-52.627135678391966,23.065633705549953
-52.447236180904525,23.429832551897842
-52.267336683417085,23.796322291611297
-52.08743718592965,24.16500979264794
-51.90753768844222,24.535799430478797
-51.72763819095478,24.90859317496858
-51.54773869346734,25.283290682921574
-51.367839195979904,25.659789396142305
-51.187939698492464,26.037984644837373
-51.00804020100503,26.41776975616332
-50.82814070351759,26.79903616770543
-50.64824120603015,27.18167354565064
-50.46834170854272,27.565569907398903
-50.28844221105528,27.950611748338325
-50.10854271356784,28.336684172491704
-49.9286432160804,28.723671026724755
-49.74874371859297,29.111455038191924
-49.56884422110553,29.49991795468056
-49.388944723618096,29.8889406875014
-49.209045226130655,30.27840345656285
-49.029145728643215,30.668185937255863
-48.84924623115578,31.05816740876862
-48.66934673366835,31.448226903443516
-48.48944723618091,31.838243356784652
-48.30954773869347,32.22809575772036
-48.129648241206034,32.61766329872508
-47.949748743718594,33.00682552540488
-47.76984924623116,33.39546248515321
-47.58994974874372,33.78345487448853
-47.41005025125628,34.17068418469041
-47.23015075376885,34.55703284535897
-47.05025125628141,34.94238436553147
-46.87035175879397,35.32662347200114
-46.69045226130653,35.709636244494966
-46.5105527638191,36.09131024738199
-46.33065326633166,36.47153465759809
-46.150753768844226,36.85020038848944
-45.970854271356785,37.22720020929536
-45.790954773869345,37.6024288600086
-45.61105527638191,37.975783161371346
-45.43115577889448,38.34716211978512
-45.25125628140704,38.71646702693361
-45.0713567839196,39.08360155393875
-44.891457286432164,39.44847183989259
-44.711557788944724,39.81098657462887
-44.53165829145729,40.1710570756207
-44.35175879396985,40.528597358913224
-44.17185929648241,40.88352420402167
-43.991959798994976,41.23575721274737
-43.81206030150754,41.5852188618859
-43.6321608040201,41.931834549822376
-43.45226130653266,42.275532637029485
-43.27236180904523,42.61624448050411
-43.09246231155779,42.953904462197066
-42.912562814070355,43.28845001150902
-42.732663316582915,43.6198216219435
-42.552763819095475,43.947962862024006
-42.37286432160804,44.27282038059812
-42.19296482412061,44.594343906665905
-42.01306532663317,44.91248624388356
-41.83316582914573,45.227203259905416
-41.653266331658294,45.53845387073887
-41.473366834170854,45.846200020297054
-41.29346733668342,46.15040665534246
-41.11356783919598,46.45104169602345
-40.93366834170854,46.748076002211796
-40.753768844221106,47.041483335854835
-40.57386934673367,47.33124031956109
-40.39396984924623,47.61732639164102
-40.21407035175879,47.899723757827104
-40.03417085427136,48.178417339899354
-39.85427135678392,48.45339472144256
-39.674371859296485,48.724646090960704
-39.494472361809045,48.99216418257388
-39.314572864321605,49.255944214519864
-39.13467336683417,49.5159838256801
-38.95477386934674,49.77228301034656
-38.7748743718593,50.02484405144141
-38.59497487437186,50.27367145239647
-38.415075376884424,50.51877186789501
-38.235175879396984,50.76015403367155
-38.05527638190955,50.997828695559555
-37.87537688442211,51.23180853797074
-37.69547738693467,51.462108111981856
-37.515577889447236,51.68874376319837
-37.3356783919598,51.91173355955661
-37.15577889447236,52.131097219218574
-36.97587939698492,52.3468560387053
-36.79597989949749,52.5590328214078
