AP_Name,Host_Name,W1,W2,W3,W4,W5,W6
AP1,H1,0,0,0,0,0,0
AP1,H2,0,0,0,0,0,0
AP1,H3,0,0,0,0,0,0
AP1,H4,0,0,0,0,0,0
AP1,H5,0,0,0,0,0,0
AP1,H6,0,0,0,0,0,0
AP1,H7,0,0,0,0,0,0
AP1,H8,0,0,0,0,0,0
AP1,H9,0,0,0,0,0,0
AP1,H10,0,0,0,0,0,0
AP2,H1,0,0,0,0,0,0
AP2,H2,0,0,0,0,0,0
AP2,H3,0,0,0,0,0,0
AP2,H4,0,0,0,0,0,0
AP2,H5,0,0,0,0,0,0
AP2,H6,0,0,0,0,0,0
AP2,H7,0,0,0,0,0,0
AP2,H8,0,0,0,0,0,0
AP2,H9,0,0,0,0,0,0
AP2,H10,0,0,0,0,0,0
AP3,H1,0,0,0,0,0,0
AP3,H2,0,0,0,0,0,0
AP3,H3,0,0,0,0,0,0
AP3,H4,0,0,0,0,0,0
AP3,H5,0,0,0,0,0,0
AP3,H6,0,0,0,0,0,0
AP3,H7,0,0,0,0,0,0
AP3,H8,0,0,0,0,0,0
AP3,H9,0,0,0,0,0,0
AP3,H10,0,0,0,0,0,0
AP4,H1,0,0,0,0,0,0
AP4,H2,0,0,0,0,0,0
AP4,H3,0,0,0,0,0,0
AP4,H4,0,0,0,0,0,0
AP4,H5,0,0,0,0,0,0
AP4,H6,0,0,0,0,0,0
AP4,H7,0,0,0,0,0,0
AP4,H8,0,0,0,0,0,0
AP4,H9,0,0,0,0,0,0
AP4,H10,0,0,0,0,0,0
